Date,Currency,Exchange
2015-01-01,USD,1.0
2015-01-01,CAD,1.1583
2015-01-01,AUD,1.2214
2015-01-01,EUR,0.8237
2015-01-01,GBP,0.6415
2015-02-01,USD,1.0
2015-02-01,CAD,1.1682
2015-02-01,AUD,1.2323
2015-02-01,EUR,0.8304
2015-02-01,GBP,0.6477
2015-03-01,USD,1.0
2015-03-01,CAD,1.1682
2015-03-01,AUD,1.2323
2015-03-01,EUR,0.8304
2015-03-01,GBP,0.6477
2015-04-01,USD,1.0
2015-04-01,CAD,1.1682
2015-04-01,AUD,1.2323
2015-04-01,EUR,0.8304
2015-04-01,GBP,0.6477
2015-05-01,USD,1.0
2015-05-01,CAD,1.1784
2015-05-01,AUD,1.2384
2015-05-01,EUR,0.8393
2015-05-01,GBP,0.6569
2015-06-01,USD,1.0
2015-06-01,CAD,1.1763
2015-06-01,AUD,1.2288
2015-06-01,EUR,0.8393
2015-06-01,GBP,0.6582
2015-07-01,USD,1.0
2015-07-01,CAD,1.183
2015-07-01,AUD,1.2391
2015-07-01,EUR,0.8452
2015-07-01,GBP,0.6612
2015-08-01,USD,1.0
2015-08-01,CAD,1.1816
2015-08-01,AUD,1.2337
2015-08-01,EUR,0.8498
2015-08-01,GBP,0.6637
2015-09-01,USD,1.0
2015-09-01,CAD,1.182
2015-09-01,AUD,1.228
2015-09-01,EUR,0.8465
2015-09-01,GBP,0.6602
2015-10-01,USD,1.0
2015-10-01,CAD,1.182
2015-10-01,AUD,1.228
2015-10-01,EUR,0.8465
2015-10-01,GBP,0.6602
2015-11-01,USD,1.0
2015-11-01,CAD,1.182
2015-11-01,AUD,1.228
2015-11-01,EUR,0.8465
2015-11-01,GBP,0.6602
2015-12-01,USD,1.0
2015-12-01,CAD,1.1897
2015-12-01,AUD,1.2282
2015-12-01,EUR,0.8472
2015-12-01,GBP,0.66
2015-01-01,USD,1.0
2015-01-01,CAD,1.1966
2015-01-01,AUD,1.2257
2015-01-01,EUR,0.8488
2015-01-01,GBP,0.6592
2015-01-01,USD,1.0
2015-01-01,CAD,1.1965
2015-01-01,AUD,1.2291
2015-01-01,EUR,0.8493
2015-01-01,GBP,0.6584
2015-01-01,USD,1.0
2015-01-01,CAD,1.1834
2015-01-01,AUD,1.208
2015-01-01,EUR,0.8541
2015-01-01,GBP,0.6553
2015-01-01,USD,1.0
2015-01-01,CAD,1.2035
2015-01-01,AUD,1.2179
2015-01-01,EUR,0.863
2015-01-01,GBP,0.659
2015-01-01,USD,1.0
2015-01-01,CAD,1.2035
2015-01-01,AUD,1.2179
2015-01-01,EUR,0.863
2015-01-01,GBP,0.659
2015-01-01,USD,1.0
2015-01-01,CAD,1.2035
2015-01-01,AUD,1.2179
2015-01-01,EUR,0.863
2015-01-01,GBP,0.659
2015-01-01,USD,1.0
2015-01-01,CAD,1.1983
2015-01-01,AUD,1.2179
2015-01-01,EUR,0.8617
2015-01-01,GBP,0.6604
2015-01-01,USD,1.0
2015-01-01,CAD,1.2013
2015-01-01,AUD,1.2197
2015-01-01,EUR,0.8636
2015-01-01,GBP,0.6596
2015-01-01,USD,1.0
2015-01-01,CAD,1.2075
2015-01-01,AUD,1.2174
2015-01-01,EUR,0.8626
2015-01-01,GBP,0.6617
2015-01-01,USD,1.0
2015-01-01,CAD,1.2354
2015-01-01,AUD,1.2308
2015-01-01,EUR,0.8607
2015-01-01,GBP,0.6579
2015-01-01,USD,1.0
2015-01-01,CAD,1.2446
2015-01-01,AUD,1.2653
2015-01-01,EUR,0.893
2015-01-01,GBP,0.6674
2015-01-01,USD,1.0
2015-01-01,CAD,1.2446
2015-01-01,AUD,1.2653
2015-01-01,EUR,0.893
2015-01-01,GBP,0.6674
2015-01-01,USD,1.0
2015-01-01,CAD,1.2446
2015-01-01,AUD,1.2653
2015-01-01,EUR,0.893
2015-01-01,GBP,0.6674
2015-01-01,USD,1.0
2015-01-01,CAD,1.2459
2015-01-01,AUD,1.2653
2015-01-01,EUR,0.8894
2015-01-01,GBP,0.6661
2015-01-01,USD,1.0
2015-01-01,CAD,1.2458
2015-01-01,AUD,1.2589
2015-01-01,EUR,0.8845
2015-01-01,GBP,0.6609
2015-01-01,USD,1.0
2015-01-01,CAD,1.2421
2015-01-01,AUD,1.2548
2015-01-01,EUR,0.8815
2015-01-01,GBP,0.6581
2015-01-01,USD,1.0
2015-01-01,CAD,1.2531
2015-01-01,AUD,1.2846
2015-01-01,EUR,0.8838
2015-01-01,GBP,0.6608
2015-01-01,USD,1.0
2015-01-01,CAD,1.267
2015-01-01,AUD,1.2857
2015-01-01,EUR,0.8846
2015-01-01,GBP,0.6644
2015-01-01,USD,1.0
2015-01-01,CAD,1.267
2015-01-01,AUD,1.2857
2015-01-01,EUR,0.8846
2015-01-01,GBP,0.6644
2015-01-02,USD,1.0
2015-01-02,CAD,1.267
2015-01-02,AUD,1.2857
2015-01-02,EUR,0.8846
2015-01-02,GBP,0.6644
2015-02-02,USD,1.0
2015-02-02,CAD,1.2672
2015-02-02,AUD,1.2841
2015-02-02,EUR,0.8842
2015-02-02,GBP,0.6654
2015-03-02,USD,1.0
2015-03-02,CAD,1.2584
2015-03-02,AUD,1.3009
2015-03-02,EUR,0.879
2015-03-02,GBP,0.6628
2015-04-02,USD,1.0
2015-04-02,CAD,1.2452
2015-04-02,AUD,1.2862
2015-04-02,EUR,0.8737
2015-04-02,GBP,0.6566
2015-05-02,USD,1.0
2015-05-02,CAD,1.2524
2015-05-02,AUD,1.281
2015-05-02,EUR,0.8764
2015-05-02,GBP,0.6557
2015-06-02,USD,1.0
2015-06-02,CAD,1.2445
2015-06-02,AUD,1.273
2015-06-02,EUR,0.8736
2015-06-02,GBP,0.6528
2015-07-02,USD,1.0
2015-07-02,CAD,1.2445
2015-07-02,AUD,1.273
2015-07-02,EUR,0.8736
2015-07-02,GBP,0.6528
2015-08-02,USD,1.0
2015-08-02,CAD,1.2445
2015-08-02,AUD,1.273
2015-08-02,EUR,0.8736
2015-08-02,GBP,0.6528
2015-09-02,USD,1.0
2015-09-02,CAD,1.25
2015-09-02,AUD,1.2798
2015-09-02,EUR,0.8869
2015-09-02,GBP,0.6576
2015-10-02,USD,1.0
2015-10-02,CAD,1.2471
2015-10-02,AUD,1.2855
2015-10-02,EUR,0.8852
2015-10-02,GBP,0.6568
2015-11-02,USD,1.0
2015-11-02,CAD,1.2611
2015-11-02,AUD,1.291
2015-11-02,EUR,0.8839
2015-11-02,GBP,0.6537
2015-12-02,USD,1.0
2015-12-02,CAD,1.256
2015-12-02,AUD,1.3031
2015-12-02,EUR,0.8828
2015-12-02,GBP,0.6511
2015-01-01,USD,1.0
2015-01-01,CAD,1.2508
2015-01-01,AUD,1.2907
2015-01-01,EUR,0.8787
2015-01-01,GBP,0.6503
2015-01-01,USD,1.0
