ProductKey,Product_Name,Brand,Unit_Cost_USD,Unit_Price_USD,SubcategoryKey,CategoryKey
1,Contoso 512MB MP3 Player E51 Silver,Contoso,6.62,12.99,101,1
2,Contoso 512MB MP3 Player E51 Blue,Contoso,6.62,12.99,101,1
3,Contoso 1G MP3 Player E100 White,Contoso,7.4,14.52,101,1
4,Contoso 2G MP3 Player E200 Silver,Contoso,11.0,21.57,101,1
5,Contoso 2G MP3 Player E200 Red,Contoso,11.0,21.57,101,1
6,Contoso 2G MP3 Player E200 Black,Contoso,11.0,21.57,101,1
7,Contoso 2G MP3 Player E200 Blue,Contoso,11.0,21.57,101,1
8,Contoso 4G MP3 Player E400 Silver,Contoso,30.58,59.99,101,1
9,Contoso 4G MP3 Player E400 Black,Contoso,30.58,59.99,101,1
10,Contoso 4G MP3 Player E400 Green,Contoso,30.58,59.99,101,1
11,Contoso 4G MP3 Player E400 Orange,Contoso,30.58,59.99,101,1
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,35.72,77.68,101,1
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,35.72,77.68,101,1
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,35.72,77.68,101,1
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,35.72,77.68,101,1
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,50.56,109.95,101,1
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,50.56,109.95,101,1
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,50.56,109.95,101,1
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,50.56,109.95,101,1
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,61.62,134.0,101,1
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,61.62,134.0,101,1
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,61.62,134.0,101,1
23,Contoso 8GB MP3 Player new model M820 White,Contoso,61.62,134.0,101,1
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,91.93,199.9,101,1
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,91.93,199.9,101,1
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,91.93,199.9,101,1
27,Contoso 16GB Mp5 Player M1600 White,Contoso,91.93,199.9,101,1
28,Contoso 16GB Mp5 Player M1600 Red,Contoso,91.93,199.9,101,1
29,Contoso 32GB Video MP3 Player M3200 White,Contoso,84.49,255.0,101,1
30,Contoso 32GB Video MP3 Player M3200 Red,Contoso,84.49,255.0,101,1
31,Contoso 32GB Video MP3 Player M3200 Orange,Contoso,84.49,255.0,101,1
32,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,84.49,255.0,101,1
33,Contoso 32GB Video MP3 Player M3200 Black,Contoso,84.49,255.0,101,1
34,Contoso 4GB Portable MP3 Player M450 Black,Contoso,48.92,95.95,101,1
35,Contoso 4GB Portable MP3 Player M450 White,Contoso,48.92,95.95,101,1
36,Contoso 4GB Portable MP3 Player M450 Yellow,Contoso,48.92,95.95,101,1
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Contoso,99.14,299.23,101,1
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,Contoso,99.14,299.23,101,1
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,99.14,299.23,101,1
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,Contoso,99.14,299.23,101,1
41,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,106.69,232.0,101,1
42,Contoso 16GB New Generation MP5 Player M1650 White,Contoso,106.69,232.0,101,1
43,Contoso 16GB New Generation MP5 Player M1650 Black,Contoso,106.69,232.0,101,1
44,Contoso 16GB New Generation MP5 Player M1650 blue,Contoso,106.69,232.0,101,1
45,Contoso 16GB New Generation MP5 Player M1650 Pink,Contoso,106.69,232.0,101,1
46,WWI 1GB Pulse Smart pen E50 White,Wide World Importers,76.45,149.95,104,1
47,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,76.45,149.95,104,1
48,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,76.45,149.95,104,1
49,WWI 2GB Pulse Smart pen M100 White,Wide World Importers,91.95,199.95,104,1
50,WWI 2GB Pulse Smart pen M100 Black,Wide World Importers,91.95,199.95,104,1
51,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,91.95,199.95,104,1
52,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,91.95,199.95,104,1
53,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,98.07,296.0,104,1
54,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,98.07,296.0,104,1
55,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,98.07,296.0,104,1
56,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,98.07,296.0,104,1
57,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,79.53,156.0,104,1
58,WWI 1GB Digital Voice Recorder Pen E100 Red,Wide World Importers,79.53,156.0,104,1
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,Wide World Importers,79.53,156.0,104,1
60,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,79.53,156.0,104,1
61,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,83.24,181.0,104,1
62,WWI 2GB Spy Video Recorder Pen M300 White,Wide World Importers,83.24,181.0,104,1
63,WWI 2GB Spy Video Recorder Pen M300 Blue,Wide World Importers,83.24,181.0,104,1
64,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,83.24,181.0,104,1
65,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,83.24,181.0,104,1
66,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,13.1,25.69,106,1
67,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,13.1,25.69,106,1
68,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,13.1,25.69,106,1
69,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,13.1,25.69,106,1
70,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,22.05,47.95,106,1
71,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,22.05,47.95,106,1
72,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,22.05,47.95,106,1
73,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,22.05,47.95,106,1
74,NT Bluetooth Active Headphones E202 Black,Northwind Traders,17.45,37.95,106,1
75,NT Bluetooth Active Headphones E202 White,Northwind Traders,17.45,37.95,106,1
76,NT Bluetooth Active Headphones E202 Red,Northwind Traders,17.45,37.95,106,1
77,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,17.45,37.95,106,1
78,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,18.65,40.55,106,1
79,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,18.65,40.55,106,1
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,18.65,40.55,106,1
81,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,18.65,40.55,106,1
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,18.65,40.55,106,1
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,45.98,99.99,106,1
84,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,45.98,99.99,106,1
85,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,45.98,99.99,106,1
86,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,45.98,99.99,106,1
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,45.98,99.99,106,1
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,49.69,149.99,106,1
89,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,49.69,149.99,106,1
90,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,49.69,149.99,106,1
91,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Northwind Traders,49.69,149.99,106,1
92,NT Wireless Transmitter and Bluetooth Headphones M150 Red,Northwind Traders,49.69,149.99,106,1
93,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,34.36,67.4,106,1
94,WWI Stereo Bluetooth Headphones E1000 Black,Wide World Importers,34.36,67.4,106,1
95,WWI Stereo Bluetooth Headphones E1000 Silver,Wide World Importers,34.36,67.4,106,1
96,WWI Stereo Bluetooth Headphones E1000 White,Wide World Importers,34.36,67.4,106,1
97,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,34.36,67.4,106,1
98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,55.18,120.0,106,1
99,WWI Wireless Bluetooth Stereo Headphones M170 Black,Wide World Importers,55.18,120.0,106,1
100,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,55.18,120.0,106,1
101,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,55.18,120.0,106,1
102,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,52.88,115.0,106,1
103,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,52.88,115.0,106,1
104,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,52.88,115.0,106,1
105,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,52.88,115.0,106,1
106,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,61.16,132.99,106,1
107,WWI Stereo Bluetooth Headphones New Generation M370 White,Wide World Importers,61.16,132.99,106,1
108,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Wide World Importers,61.16,132.99,106,1
109,WWI Stereo Bluetooth Headphones New Generation M370 Orange,Wide World Importers,61.16,132.99,106,1
110,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,61.16,132.99,106,1
111,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,Wide World Importers,82.83,249.99,106,1
112,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,82.83,249.99,106,1
113,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,82.83,249.99,106,1
114,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,82.83,249.99,106,1
115,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Wide World Importers,82.83,249.99,106,1
116,"Adventure Works 20"" CRT TV E15 Silver",Adventure Works,86.67,169.99,201,2
117,"Adventure Works 20"" CRT TV E15 Black",Adventure Works,86.67,169.99,201,2
118,"Adventure Works 20"" CRT TV E15 White",Adventure Works,86.67,169.99,201,2
119,"Adventure Works 13"" Color TV E25 Silver",Adventure Works,61.17,119.99,201,2
120,"Adventure Works 13"" Color TV E25 Black",Adventure Works,61.17,119.99,201,2
121,"Adventure Works 13"" Color TV E25 White",Adventure Works,61.17,119.99,201,2
122,"Adventure Works 19"" Portable LCD HDTV M110 Silver",Adventure Works,128.76,279.99,201,2
123,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,128.76,279.99,201,2
124,"Adventure Works 19"" Portable LCD HDTV M110 White",Adventure Works,128.76,279.99,201,2
125,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,73.11,143.4,201,2
126,"Adventure Works 19"" Color Digital TV E35 Black",Adventure Works,73.11,143.4,201,2
127,"Adventure Works 19"" Color Digital TV E35 White",Adventure Works,73.11,143.4,201,2
128,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,73.11,143.4,201,2
129,"Adventure Works 20"" Analog CRT TV E45 Silver",Adventure Works,101.97,200.0,201,2
130,"Adventure Works 20"" Analog CRT TV E45 Black",Adventure Works,101.97,200.0,201,2
131,"Adventure Works 20"" Analog CRT TV E45 White",Adventure Works,101.97,200.0,201,2
132,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,101.97,200.0,201,2
133,"Adventure Works 20"" LCD HDTV M120 Silver",Adventure Works,160.93,349.95,201,2
134,"Adventure Works 20"" LCD HDTV M120 Black",Adventure Works,160.93,349.95,201,2
135,"Adventure Works 20"" LCD HDTV M120 White",Adventure Works,160.93,349.95,201,2
136,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,160.93,349.95,201,2
137,"Adventure Works 32"" LCD HDTV M130 Silver",Adventure Works,229.93,499.99,201,2
138,"Adventure Works 32"" LCD HDTV M130 Black",Adventure Works,229.93,499.99,201,2
139,"Adventure Works 32"" LCD HDTV M130 White",Adventure Works,229.93,499.99,201,2
140,"Adventure Works 32"" LCD HDTV M130 Brown",Adventure Works,229.93,499.99,201,2
141,"Adventure Works 15.6"" LCD TV M130W Silver",Adventure Works,152.94,299.99,201,2
142,"Adventure Works 15.6"" LCD TV M130W Black",Adventure Works,152.94,299.99,201,2
143,"Adventure Works 15.6"" LCD TV M130W White",Adventure Works,152.94,299.99,201,2
144,"Adventure Works 15.6"" LCD TV M130W Brown",Adventure Works,152.94,299.99,201,2
145,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,960.82,2899.99,201,2
146,"Adventure Works 52"" LCD HDTV X590 Black",Adventure Works,960.82,2899.99,201,2
147,"Adventure Works 52"" LCD HDTV X590 White",Adventure Works,960.82,2899.99,201,2
148,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,960.82,2899.99,201,2
149,"Adventure Works 40"" LCD HDTV M690 Silver",Adventure Works,392.6,1184.97,201,2
150,"Adventure Works 40"" LCD HDTV M690 Black",Adventure Works,392.6,1184.97,201,2
151,"Adventure Works 40"" LCD HDTV M690 White",Adventure Works,392.6,1184.97,201,2
152,"Adventure Works 40"" LCD HDTV M690 Brown",Adventure Works,392.6,1184.97,201,2
153,"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,216.12,469.97,201,2
154,"Adventure Works 26"" 720p LCD HDTV M140 Black",Adventure Works,216.12,469.97,201,2
155,"Adventure Works 26"" 720p LCD HDTV M140 White",Adventure Works,216.12,469.97,201,2
156,"Adventure Works 26"" 720p LCD HDTV M140 Brown",Adventure Works,216.12,469.97,201,2
157,"Adventure Works 37"" 1080p LCD HDTV M150W Silver",Adventure Works,505.85,1099.99,201,2
158,"Adventure Works 37"" 1080p LCD HDTV M150W Black",Adventure Works,505.85,1099.99,201,2
159,"Adventure Works 37"" 1080p LCD HDTV M150W White",Adventure Works,505.85,1099.99,201,2
160,"Adventure Works 37"" 1080p LCD HDTV M150W Brown",Adventure Works,505.85,1099.99,201,2
161,"Adventure Works 52"" LCD HDTV X790W Silver",Adventure Works,527.53,1592.2,201,2
162,"Adventure Works 52"" LCD HDTV X790W Black",Adventure Works,527.53,1592.2,201,2
163,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,527.53,1592.2,201,2
164,"Adventure Works 52"" LCD HDTV X790W Brown",Adventure Works,527.53,1592.2,201,2
165,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,389.26,763.51,201,2
166,SV 16xDVD M300 Black,Southridge Video,54.72,119.0,202,2
167,SV 8xDVD E100 Black,Southridge Video,35.18,69.0,202,2
168,SV 16xDVD M310 Black,Southridge Video,59.32,129.0,202,2
169,SV 16xDVD M320 Black,Southridge Video,54.72,119.0,202,2
170,SV 16xDVD M330 Black,Southridge Video,50.13,109.0,202,2
171,SV 16xDVD E340 Black,Southridge Video,45.53,99.0,202,2
172,SV 22xDVD X680 Black,Southridge Video,55.99,169.0,202,2
173,SV 8xDVD E120 Black,Southridge Video,45.83,89.9,202,2
174,SV 22xDVD M600 Black,Southridge Video,43.04,129.9,202,2
175,SV 16xDVD M350 Black,Southridge Video,53.76,116.9,202,2
176,SV 16xDVD M360 Black,Southridge Video,58.36,126.9,202,2
177,SV 8xDVD E130 Black,Southridge Video,29.01,56.9,202,2
178,SV 8xDVD E140 Black,Southridge Video,33.65,66.0,202,2
179,SV 16xDVD M300 Silver,Southridge Video,54.72,119.0,202,2
180,SV 8xDVD E100 Silver,Southridge Video,35.18,69.0,202,2
181,SV 16xDVD M310 Silver,Southridge Video,59.32,129.0,202,2
182,SV 16xDVD M320 Silver,Southridge Video,54.72,119.0,202,2
183,SV 16xDVD M330 Silver,Southridge Video,50.13,109.0,202,2
184,SV 16xDVD E340 Silver,Southridge Video,45.53,99.0,202,2
185,SV 22xDVD X680 Silver,Southridge Video,55.99,169.0,202,2
186,SV 8xDVD E120 Silver,Southridge Video,45.83,89.9,202,2
187,SV 22xDVD M600 Silver,Southridge Video,43.04,129.9,202,2
188,SV 16xDVD M350 Silver,Southridge Video,53.76,116.9,202,2
189,SV 16xDVD M360 Silver,Southridge Video,58.36,126.9,202,2
190,SV 8xDVD E130 Silver,Southridge Video,29.01,56.9,202,2
191,SV 8xDVD E140 Silver,Southridge Video,33.65,66.0,202,2
192,Litware Home Theater System 4.1 Channel M410 Black,Litware,275.46,599.0,203,2
193,Litware Home Theater System 5.1 Channel M511 Black,Litware,321.44,699.0,203,2
194,Litware Home Theater System 2.1 Channel E210 Black,Litware,152.44,299.0,203,2
195,Litware Home Theater System 5.1 Channel M510 Black,Litware,293.85,639.0,203,2
196,Litware Home Theater System 2.1 Channel E211 Black,Litware,137.6,269.9,203,2
197,Litware Home Theater System 2.1 Channel E212 Black,Litware,152.9,299.9,203,2
198,Litware Home Theater System 4.1 Channel M411 Black,Litware,275.46,599.0,203,2
199,Litware Home Theater System 4.1 Channel M412 Black,Litware,261.66,569.0,203,2
200,Litware Home Theater System 4.1 Channel M413 Black,Litware,252.47,549.0,203,2
201,Litware Home Theater System 5.1 Channel M512 Black,Litware,321.44,699.0,203,2
202,Litware Home Theater System 5.1 Channel M513 Black,Litware,316.85,689.0,203,2
203,Litware Home Theater System 7.1 Channel M710 Black,Litware,264.72,799.0,203,2
204,Litware Home Theater System 7.1 Channel X711 Black,Litware,367.43,1109.0,203,2
205,Litware Home Theater System 5.1 Channel M514 Black,Litware,275.46,599.0,203,2
206,Litware Home Theater System 5.1 Channel M515 Black,Litware,261.66,569.0,203,2
207,Litware Home Theater System 5.1 Channel M516 Black,Litware,266.26,579.0,203,2
208,Litware Home Theater System 4.1 Channel M410 Silver,Litware,275.46,599.0,203,2
209,Litware Home Theater System 5.1 Channel M511 Silver,Litware,321.44,699.0,203,2
210,Litware Home Theater System 2.1 Channel E210 Silver,Litware,152.44,299.0,203,2
211,Litware Home Theater System 5.1 Channel M510 Silver,Litware,293.85,639.0,203,2
212,Litware Home Theater System 2.1 Channel E211 Silver,Litware,137.6,269.9,203,2
213,Litware Home Theater System 2.1 Channel E212 Silver,Litware,152.9,299.9,203,2
214,Litware Home Theater System 4.1 Channel M411 Silver,Litware,275.46,599.0,203,2
215,Litware Home Theater System 4.1 Channel M412 Silver,Litware,261.66,569.0,203,2
216,Litware Home Theater System 4.1 Channel M413 Silver,Litware,252.47,549.0,203,2
